,Team,Season,Goals For,Total Shots,Total PIM,Avg Age,Team +/-,Sum OPS,Sum DPS,Highest Scorer PTS,Highest G,Highest A,GP,Playoffs
26,ANA,2006,251,2585,1445,28.2,126,39.3,43.4,90,40,51,82,1
17,ARI,2006,242,2318,1493,27.1,-135,36.0,32.1,66,30,41,82,0
2,BOS,2006,228,2511,1162,27.7,-70,30.8,32.7,73,31,43,82,0
11,BUF,2006,276,2510,1144,25.9,-8,47.5,40.0,73,30,51,82,1
25,CAR,2006,286,2553,1107,28.0,41,50.7,34.4,100,45,55,82,1
4,CBJ,2006,215,2250,1396,26.7,-165,25.9,28.400000000000002,65,31,43,81,0
29,CGY,2006,216,2299,1464,27.6,73,26.7,52.8,67,35,34,82,1
24,CHI,2006,209,2480,1518,25.5,-160,23.7,28.7,59,26,33,82,0
28,COL,2006,280,2464,1152,29.0,32,50.9,36.7,87,32,55,82,1
3,DAL,2006,253,2336,1484,28.6,134,40.2,49.0,77,33,58,82,1
15,DET,2006,301,2796,1103,29.8,302,57.5,50.4,87,40,64,82,1
5,EDM,2006,249,2442,1182,27.3,-43,38.4,39.8,77,36,58,82,1
8,FLA,2006,236,2724,1255,27.1,52,33.5,33.5,89,38,51,82,0
18,LAK,2006,243,2394,1440,27.1,-25,36.1,32.4,67,26,50,81,0
6,MIN,2006,226,2194,1189,26.8,-50,29.599999999999998,45.8,79,38,45,82,0
10,MTL,2006,241,2470,1314,26.8,-17,36.3,38.7,65,30,45,82,1
0,NJD,2006,233,2395,938,29.4,-42,31.9,44.0,89,48,51,82,1
27,NSH,2006,253,2380,1517,26.9,84,39.9,42.5,85,31,54,82,1
12,NYI,2006,221,2481,1248,26.2,-160,28.2,29.9,66,35,39,82,0
7,NYR,2006,250,2448,1182,26.6,171,38.8,47.9,123,54,69,82,1
23,OTT,2006,312,2811,1442,26.4,358,62.4,49.1,103,50,71,82,1
19,PHI,2006,263,2552,1187,27.0,109,43.3,35.8,79,47,56,82,1
14,PIT,2006,243,2297,1539,27.7,-243,36.4,19.4,102,39,63,81,0
20,SJS,2006,265,2483,1044,26.0,73,43.5,41.4,93,56,72,82,1
13,STL,2006,193,2335,1355,28.1,-419,17.3,26.0,49,22,33,80,0
9,TBL,2006,246,2594,937,27.8,-109,36.3,36.0,91,35,68,82,1
1,TOR,2006,254,2323,1378,27.7,-105,40.7,32.5,78,31,58,82,0
16,VAN,2006,252,2358,1465,27.4,-26,40.0,36.5,79,33,57,82,0
22,WPG,2006,276,2522,1318,27.7,18,48.0,30.900000000000002,98,52,69,82,0
21,WSH,2006,230,2445,1473,26.0,-137,31.1,21.3,106,52,54,82,0
54,ANA,2007,254,2582,1427,27.6,131,45.0,47.8,94,48,54,82,1
47,ARI,2007,211,2320,1417,27.3,-227,28.9,24.5,55,27,33,82,0
32,BOS,2007,210,2370,1232,26.2,-328,27.8,22.2,96,28,74,82,0
41,BUF,2007,298,2417,1182,25.6,299,61.3,35.9,95,43,63,82,1
56,CAR,2007,241,2559,1007,28.5,-84,39.0,33.6,83,33,56,82,0
34,CBJ,2007,196,2273,1337,26.2,-140,22.5,35.0,64,27,48,82,0
59,CGY,2007,255,2242,1182,27.6,191,45.4,40.699999999999996,94,39,59,81,1
55,CHI,2007,195,2201,1316,25.9,-112,22.3,32.1,57,25,32,82,0
58,COL,2007,267,2603,864,28.4,42,49.9,34.1,100,36,64,82,0
33,DAL,2007,217,2296,1111,28.6,12,30.5,52.3,59,26,42,82,1
45,DET,2007,252,2771,958,29.5,264,44.0,51.800000000000004,87,33,60,82,1
35,EDM,2007,192,2193,1263,25.8,-251,20.2,34.3,53,31,40,82,0
38,FLA,2007,245,2730,1163,27.3,58,41.9,32.8,91,39,52,82,0
48,LAK,2007,223,2542,1215,27.7,-223,33.2,25.0,80,35,46,82,0
36,MIN,2007,225,2431,850,27.0,66,33.7,51.4,64,31,39,82,1
40,MTL,2007,239,2426,1119,26.9,-166,40.6,31.8,75,30,53,82,0
30,NJD,2007,206,2354,822,27.6,-67,25.2,48.4,69,31,48,82,1
57,NSH,2007,266,2261,1155,26.6,202,49.6,43.9,76,27,52,82,1
42,NYI,2007,240,2459,1038,28.4,95,39.8,35.6,69,40,38,82,1
37,NYR,2007,233,2586,1087,27.5,55,36.5,44.3,96,30,66,82,1
53,OTT,2007,286,2651,1161,26.2,294,58.2,42.4,105,50,58,82,1
49,PHI,2007,213,2361,1285,26.5,-372,29.3,18.6,68,41,39,82,0
44,PIT,2007,267,2366,1211,27.2,19,49.9,35.1,120,36,84,82,1
50,SJS,2007,256,2346,939,26.6,92,45.9,50.7,114,37,92,82,1
43,STL,2007,208,2202,1203,27.7,-22,27.2,33.5,59,28,43,82,0
39,TBL,2007,243,2418,891,27.5,-113,39.9,32.2,108,52,59,82,1
31,TOR,2007,254,2681,1127,27.5,37,45.8,30.2,76,27,49,82,0
46,VAN,2007,217,2405,1190,27.1,28,30.7,48.2,84,36,71,82,1
52,WPG,2007,239,2438,1071,29.4,33,38.4,34.8,100,43,57,82,1
51,WSH,2007,234,2295,1217,26.0,-145,37.5,23.5,92,46,46,82,0
84,ANA,2008,197,2241,1465,28.6,94,28.0,48.6,82,29,58,82,1
77,ARI,2008,209,2500,1175,25.9,-97,31.9,34.8,78,28,50,82,0
62,BOS,2008,206,2339,1051,26.8,31,31.0,37.8,78,27,63,82,1
71,BUF,2008,251,2478,990,26.2,32,48.7,32.8,81,36,53,82,0
86,CAR,2008,250,2669,1165,28.5,-2,48.3,29.8,82,38,44,82,0
64,CBJ,2008,190,2381,1303,26.1,-55,24.5,40.3,69,38,35,82,0
89,CGY,2008,226,2316,1328,28.7,65,39.7,37.1,98,50,48,82,1
85,CHI,2008,234,2298,1371,25.4,49,43.5,35.300000000000004,72,36,51,82,0
88,COL,2008,224,2349,973,28.1,73,37.5,40.2,71,29,47,82,1
63,DAL,2008,237,2187,1162,27.8,85,43.5,44.4,83,32,56,82,1
75,DET,2008,252,2820,933,29.5,235,50.0,53.2,97,43,66,82,1
65,EDM,2008,220,2156,1149,25.7,-156,36.2,28.9,71,23,51,82,0
68,FLA,2008,211,2549,1002,26.9,-19,32.7,35.2,71,34,37,82,0
78,LAK,2008,226,2349,930,26.9,-179,39.6,24.6,77,33,45,82,0
66,MIN,2008,220,2218,1086,28.0,-22,36.699999999999996,38.9,83,42,50,82,1
70,MTL,2008,257,2383,1072,26.5,51,52.5,37.6,84,35,49,82,1
60,NJD,2008,198,2362,956,28.0,27,27.0,46.8,65,32,35,82,1
87,NSH,2008,227,2425,1015,27.6,-6,39.9,36.1,72,29,44,81,1
72,NYI,2008,189,2435,1023,27.0,-162,23.8,31.7,49,23,29,82,0
67,NYR,2008,205,2579,1142,26.7,38,30.5,47.1,71,25,54,82,1
83,OTT,2008,258,2471,1153,27.1,114,53.1,30.900000000000002,92,41,58,82,1
79,PHI,2008,245,2359,1457,26.9,-27,46.800000000000004,33.6,75,31,47,82,1
74,PIT,2008,240,2269,1155,27.0,86,45.6,39.5,106,47,59,82,1
80,SJS,2008,216,2428,1061,26.8,-3,35.1,50.3,96,29,67,82,1
73,STL,2008,202,2141,1137,27.2,-111,29.2,34.8,65,43,49,82,0
69,TBL,2008,221,2354,1022,27.3,-250,36.8,25.2,92,40,58,82,0
61,TOR,2008,228,2542,1079,27.2,-68,40.0,27.400000000000002,78,32,46,82,0
76,VAN,2008,207,2252,1458,27.0,2,30.900000000000002,40.8,76,29,61,82,0
82,WPG,2008,207,2115,1057,27.9,-206,30.599999999999998,22.2,87,52,35,82,0
81,WSH,2008,238,2538,953,27.1,57,43.300000000000004,36.0,112,65,55,82,1
114,ANA,2009,238,2481,1418,27.8,29,40.4,36.9,91,32,66,82,1
107,ARI,2009,205,2302,1074,25.6,-138,26.5,32.300000000000004,73,31,42,82,0
92,BOS,2009,270,2482,1016,27.0,290,52.6,48.4,88,36,63,82,1
101,BUF,2009,242,2505,1105,26.9,-11,41.3,37.5,70,40,46,82,0
116,CAR,2009,236,2675,786,27.4,-4,39.1,40.7,77,40,53,82,1
94,CBJ,2009,220,2370,1207,26.1,73,33.0,40.6,79,40,39,82,1
119,CGY,2009,251,2643,1281,26.9,8,45.5,34.5,89,39,54,82,1
115,CHI,2009,260,2683,1129,25.3,202,48.4,44.3,77,34,48,82,1
118,COL,2009,190,2359,1044,27.5,-250,20.9,32.1,59,27,33,82,0
93,DAL,2009,224,2370,1134,27.8,-63,33.4,32.3,78,36,56,82,0
105,DET,2009,289,2965,810,30.3,153,59.6,36.300000000000004,97,40,65,82,1
95,EDM,2009,228,2303,1227,26.5,0,36.5,33.5,66,23,43,82,0
98,FLA,2009,231,2412,884,27.2,31,36.7,36.8,61,31,47,82,0
108,LAK,2009,202,2383,1191,25.6,-172,26.2,39.5,66,32,39,82,0
96,MIN,2009,214,2257,869,26.5,-72,31.1,47.7,67,25,47,82,0
100,MTL,2009,242,2461,1223,27.6,-38,41.4,33.5,65,26,52,81,1
90,NJD,2009,238,2698,1038,29.1,182,39.5,45.6,94,45,49,82,1
117,NSH,2009,207,2375,982,27.4,-87,28.0,38.7,65,33,49,82,0
102,NYI,2009,198,2372,1198,26.8,-292,23.9,24.0,56,18,40,74,0
97,NYR,2009,200,2658,1175,26.5,-109,25.1,43.0,58,24,42,82,1
113,OTT,2009,213,2405,1084,27.4,-113,29.0,37.5,74,39,50,82,0
109,PHI,2009,260,2441,1408,25.8,99,48.699999999999996,36.3,84,46,50,82,1
104,PIT,2009,258,2381,1106,27.1,102,47.7,36.8,113,35,78,82,1
110,SJS,2009,251,2720,1037,28.0,78,45.1,48.7,86,38,61,82,1
103,STL,2009,227,2271,1226,26.0,-83,35.0,39.0,72,33,39,82,1
99,TBL,2009,207,2338,1280,26.8,-175,26.8,24.3,80,30,50,82,0
91,TOR,2009,244,2603,1113,27.2,-133,42.4,21.7,63,25,40,82,0
106,VAN,2009,243,2335,1323,27.5,146,42.1,42.4,82,31,60,82,1
112,WPG,2009,250,2306,1244,26.7,-57,44.5,24.099999999999998,91,43,51,82,0
111,WSH,2009,268,2748,1021,26.9,87,51.0,35.1,110,56,66,82,1
144,ANA,2010,233,2472,1317,27.4,-43,40.9,30.099999999999998,76,35,50,82,0
137,ARI,2010,211,2502,905,27.6,80,31.8,46.5,55,24,37,82,1
