Team,Season,PTS%
ANA,2007,0.671
ANA,2008,0.622
ANA,2009,0.555
ANA,2010,0.543
ANA,2011,0.604
ANA,2012,0.488
ANA,2013,0.688
ANA,2014,0.707
ANA,2015,0.665
ANA,2016,0.628
ANA,2017,0.64
ANA,2018,0.616
ANA,2019,0.488
ANA,2020,0.472
ANA,2021,0.384
ANA,2022,0.463
ARI,2007,0.409
ARI,2008,0.506
ARI,2009,0.482
ARI,2010,0.652
ARI,2011,0.604
ARI,2012,0.591
ARI,2013,0.531
ARI,2014,0.543
ARI,2015,0.341
ARI,2016,0.476
ARI,2017,0.427
ARI,2018,0.427
ARI,2019,0.524
ARI,2020,0.529
ARI,2021,0.482
ARI,2022,0.348
BOS,2007,0.463
BOS,2008,0.573
BOS,2009,0.707
BOS,2010,0.555
BOS,2011,0.628
BOS,2012,0.622
BOS,2013,0.646
BOS,2014,0.713
BOS,2015,0.585
BOS,2016,0.567
BOS,2017,0.579
BOS,2018,0.683
BOS,2019,0.652
BOS,2020,0.714
BOS,2021,0.652
BOS,2022,0.652
BUF,2007,0.689
BUF,2008,0.549
BUF,2009,0.555
BUF,2010,0.61
BUF,2011,0.585
BUF,2012,0.543
BUF,2013,0.5
BUF,2014,0.317
BUF,2015,0.329
BUF,2016,0.494
BUF,2017,0.476
BUF,2018,0.378
BUF,2019,0.463
BUF,2020,0.493
BUF,2021,0.33
BUF,2022,0.457
CAR,2007,0.537
CAR,2008,0.561
CAR,2009,0.591
CAR,2010,0.488
CAR,2011,0.555
CAR,2012,0.5
CAR,2013,0.438
CAR,2014,0.506
CAR,2015,0.433
CAR,2016,0.524
CAR,2017,0.53
CAR,2018,0.506
CAR,2019,0.604
CAR,2020,0.596
CAR,2021,0.714
CAR,2022,0.707
CBJ,2007,0.445
CBJ,2008,0.488
CBJ,2009,0.561
CBJ,2010,0.482
CBJ,2011,0.494
CBJ,2012,0.396
CBJ,2013,0.573
CBJ,2014,0.567
CBJ,2015,0.543
CBJ,2016,0.463
CBJ,2017,0.659
CBJ,2018,0.591
CBJ,2019,0.598
CBJ,2020,0.579
CBJ,2021,0.429
CBJ,2022,0.494
CGY,2007,0.585
CGY,2008,0.573
CGY,2009,0.598
CGY,2010,0.549
CGY,2011,0.573
CGY,2012,0.549
CGY,2013,0.438
CGY,2014,0.47
CGY,2015,0.591
CGY,2016,0.47
CGY,2017,0.573
CGY,2018,0.512
CGY,2019,0.652
CGY,2020,0.564
CGY,2021,0.491
CGY,2022,0.677
CHI,2007,0.433
CHI,2008,0.537
CHI,2009,0.634
CHI,2010,0.683
CHI,2011,0.591
CHI,2012,0.616
CHI,2013,0.802
CHI,2014,0.652
CHI,2015,0.622
CHI,2016,0.628
CHI,2017,0.665
CHI,2018,0.463
CHI,2019,0.512
CHI,2020,0.514
CHI,2021,0.491
CHI,2022,0.415
COL,2007,0.579
COL,2008,0.579
COL,2009,0.421
COL,2010,0.579
COL,2011,0.415
COL,2012,0.537
COL,2013,0.406
COL,2014,0.683
COL,2015,0.549
COL,2016,0.5
COL,2017,0.293
COL,2018,0.579
COL,2019,0.549
COL,2020,0.657
COL,2021,0.732
COL,2022,0.726
DAL,2007,0.652
DAL,2008,0.591
DAL,2009,0.506
DAL,2010,0.537
DAL,2011,0.579
DAL,2012,0.543
DAL,2013,0.5
DAL,2014,0.555
DAL,2015,0.561
DAL,2016,0.665
DAL,2017,0.482
DAL,2018,0.561
DAL,2019,0.567
DAL,2020,0.594
DAL,2021,0.536
DAL,2022,0.598
DET,2007,0.689
DET,2008,0.701
DET,2009,0.683
DET,2010,0.622
DET,2011,0.634
DET,2012,0.622
DET,2013,0.583
DET,2014,0.567
DET,2015,0.61
DET,2016,0.567
DET,2017,0.482
DET,2018,0.445
DET,2019,0.451
DET,2020,0.275
DET,2021,0.429
DET,2022,0.451
EDM,2007,0.433
EDM,2008,0.537
EDM,2009,0.518
EDM,2010,0.378
EDM,2011,0.378
EDM,2012,0.451
EDM,2013,0.469
EDM,2014,0.409
EDM,2015,0.378
EDM,2016,0.427
EDM,2017,0.628
EDM,2018,0.476
EDM,2019,0.482
EDM,2020,0.585
EDM,2021,0.643
EDM,2022,0.634
FLA,2007,0.524
FLA,2008,0.518
FLA,2009,0.567
FLA,2010,0.47
FLA,2011,0.439
FLA,2012,0.573
FLA,2013,0.375
FLA,2014,0.402
FLA,2015,0.555
FLA,2016,0.628
FLA,2017,0.494
FLA,2018,0.585
FLA,2019,0.524
FLA,2020,0.565
FLA,2021,0.705
FLA,2022,0.744
LAK,2007,0.415
LAK,2008,0.433
LAK,2009,0.482
LAK,2010,0.616
LAK,2011,0.598
LAK,2012,0.579
LAK,2013,0.615
LAK,2014,0.61
LAK,2015,0.579
LAK,2016,0.622
LAK,2017,0.524
LAK,2018,0.598
LAK,2019,0.433
LAK,2020,0.457
LAK,2021,0.438
LAK,2022,0.604
MIN,2007,0.634
MIN,2008,0.598
MIN,2009,0.543
MIN,2010,0.512
MIN,2011,0.524
MIN,2012,0.494
MIN,2013,0.573
MIN,2014,0.598
MIN,2015,0.61
MIN,2016,0.53
MIN,2017,0.646
MIN,2018,0.616
MIN,2019,0.506
MIN,2020,0.558
MIN,2021,0.67
MIN,2022,0.689
MTL,2007,0.549
MTL,2008,0.634
MTL,2009,0.567
MTL,2010,0.537
MTL,2011,0.585
MTL,2012,0.476
MTL,2013,0.656
MTL,2014,0.61
MTL,2015,0.671
MTL,2016,0.5
MTL,2017,0.628
MTL,2018,0.433
MTL,2019,0.585
MTL,2020,0.5
MTL,2021,0.527
MTL,2022,0.335
NJD,2007,0.652
NJD,2008,0.604
NJD,2009,0.646
NJD,2010,0.628
NJD,2011,0.494
NJD,2012,0.622
NJD,2013,0.5
NJD,2014,0.537
NJD,2015,0.476
NJD,2016,0.512
NJD,2017,0.427
NJD,2018,0.591
NJD,2019,0.439
NJD,2020,0.493
NJD,2021,0.402
NJD,2022,0.384
NSH,2007,0.671
NSH,2008,0.555
NSH,2009,0.537
NSH,2010,0.61
NSH,2011,0.604
NSH,2012,0.634
NSH,2013,0.427
NSH,2014,0.537
NSH,2015,0.634
NSH,2016,0.585
NSH,2017,0.573
NSH,2018,0.713
NSH,2019,0.61
NSH,2020,0.565
NSH,2021,0.571
NSH,2022,0.591
NYI,2007,0.561
NYI,2008,0.482
NYI,2009,0.372
NYI,2010,0.482
NYI,2011,0.445
NYI,2012,0.482
NYI,2013,0.573
NYI,2014,0.482
NYI,2015,0.616
NYI,2016,0.61
NYI,2017,0.573
NYI,2018,0.488
NYI,2019,0.628
NYI,2020,0.588
NYI,2021,0.634
NYI,2022,0.512
NYR,2007,0.573
NYR,2008,0.591
NYR,2009,0.579
NYR,2010,0.53
NYR,2011,0.567
NYR,2012,0.665
NYR,2013,0.583
NYR,2014,0.585
NYR,2015,0.689
NYR,2016,0.616
NYR,2017,0.622
NYR,2018,0.47
NYR,2019,0.476
NYR,2020,0.564
NYR,2021,0.536
NYR,2022,0.671
OTT,2007,0.64
OTT,2008,0.573
OTT,2009,0.506
OTT,2010,0.573
OTT,2011,0.451
OTT,2012,0.561
OTT,2013,0.583
OTT,2014,0.537
OTT,2015,0.604
OTT,2016,0.518
OTT,2017,0.598
OTT,2018,0.409
OTT,2019,0.39
OTT,2020,0.437
OTT,2021,0.455
OTT,2022,0.445
PHI,2007,0.341
PHI,2008,0.579
PHI,2009,0.604
PHI,2010,0.537
PHI,2011,0.646
PHI,2012,0.628
PHI,2013,0.51
PHI,2014,0.573
PHI,2015,0.512
PHI,2016,0.585
PHI,2017,0.537
PHI,2018,0.598
PHI,2019,0.5
PHI,2020,0.645
PHI,2021,0.518
PHI,2022,0.372
PIT,2007,0.64
PIT,2008,0.622
PIT,2009,0.604
PIT,2010,0.616
PIT,2011,0.646
PIT,2012,0.659
PIT,2013,0.75
PIT,2014,0.665
PIT,2015,0.598
PIT,2016,0.634
PIT,2017,0.677
PIT,2018,0.61
PIT,2019,0.61
PIT,2020,0.623
PIT,2021,0.688
PIT,2022,0.628
SEA,2022,0.366
SJS,2007,0.652
SJS,2008,0.659
SJS,2009,0.713
SJS,2010,0.689
SJS,2011,0.64
SJS,2012,0.585
SJS,2013,0.594
SJS,2014,0.677
SJS,2015,0.543
SJS,2016,0.598
SJS,2017,0.604
SJS,2018,0.61
SJS,2019,0.616
SJS,2020,0.45
SJS,2021,0.438
SJS,2022,0.47
STL,2007,0.494
STL,2008,0.482
STL,2009,0.561
STL,2010,0.549
STL,2011,0.53
STL,2012,0.665
STL,2013,0.625
STL,2014,0.677
STL,2015,0.665
STL,2016,0.652
STL,2017,0.604
STL,2018,0.573
STL,2019,0.604
STL,2020,0.662
STL,2021,0.563
STL,2022,0.665
TBL,2007,0.567
TBL,2008,0.433
TBL,2009,0.402
TBL,2010,0.488
TBL,2011,0.628
TBL,2012,0.512
TBL,2013,0.417
TBL,2014,0.616
TBL,2015,0.659
TBL,2016,0.591
TBL,2017,0.573
TBL,2018,0.689
TBL,2019,0.78
TBL,2020,0.657
TBL,2021,0.67
TBL,2022,0.671
TOR,2007,0.555
TOR,2008,0.506
TOR,2009,0.494
TOR,2010,0.451
TOR,2011,0.518
TOR,2012,0.488
TOR,2013,0.594
TOR,2014,0.512
TOR,2015,0.415
TOR,2016,0.421
TOR,2017,0.579
TOR,2018,0.64
TOR,2019,0.61
TOR,2020,0.579
TOR,2021,0.688
TOR,2022,0.701
VAN,2007,0.64
VAN,2008,0.537
VAN,2009,0.61
VAN,2010,0.628
VAN,2011,0.713
VAN,2012,0.677
VAN,2013,0.615
VAN,2014,0.506
VAN,2015,0.616
VAN,2016,0.457
VAN,2017,0.421
VAN,2018,0.445
VAN,2019,0.494
VAN,2020,0.565
VAN,2021,0.446
VAN,2022,0.561
VEG,2018,0.665
VEG,2019,0.567
VEG,2020,0.606
VEG,2021,0.732
VEG,2022,0.573
WPG,2007,0.591
WPG,2008,0.463
WPG,2009,0.463
WPG,2010,0.506
WPG,2011,0.488
WPG,2012,0.512
WPG,2013,0.531
WPG,2014,0.512
WPG,2015,0.604
WPG,2016,0.476
WPG,2017,0.53
WPG,2018,0.695
WPG,2019,0.604
WPG,2020,0.563
WPG,2021,0.563
WPG,2022,0.543
WSH,2007,0.427
WSH,2008,0.573
WSH,2009,0.659
WSH,2010,0.738
WSH,2011,0.652
WSH,2012,0.561
WSH,2013,0.594
WSH,2014,0.549
WSH,2015,0.616
WSH,2016,0.732
WSH,2017,0.72
WSH,2018,0.64
WSH,2019,0.634
WSH,2020,0.652
WSH,2021,0.688
WSH,2022,0.61
