Season,Team,PTS%
2007,ANA,0.671
2008,ANA,0.622
2009,ANA,0.555
2010,ANA,0.543
2011,ANA,0.604
2012,ANA,0.488
2013,ANA,0.688
2014,ANA,0.707
2015,ANA,0.665
2016,ANA,0.628
2017,ANA,0.64
2018,ANA,0.616
2019,ANA,0.488
2020,ANA,0.472
2021,ANA,0.384
2022,ANA,0.463
2023,ANA,0.354
2007,ARI,0.409
2008,ARI,0.506
2009,ARI,0.482
2010,ARI,0.652
2011,ARI,0.604
2012,ARI,0.591
2013,ARI,0.531
2014,ARI,0.543
2015,ARI,0.341
2016,ARI,0.476
2017,ARI,0.427
2018,ARI,0.427
2019,ARI,0.524
2020,ARI,0.529
2021,ARI,0.482
2022,ARI,0.348
2023,ARI,0.427
2007,BOS,0.463
2008,BOS,0.573
2009,BOS,0.707
2010,BOS,0.555
2011,BOS,0.628
2012,BOS,0.622
2013,BOS,0.646
2014,BOS,0.713
2015,BOS,0.585
2016,BOS,0.567
2017,BOS,0.579
2018,BOS,0.683
2019,BOS,0.652
2020,BOS,0.714
2021,BOS,0.652
2022,BOS,0.652
2023,BOS,0.823
2007,BUF,0.689
2008,BUF,0.549
2009,BUF,0.555
2010,BUF,0.61
2011,BUF,0.585
2012,BUF,0.543
2013,BUF,0.5
2014,BUF,0.317
2015,BUF,0.329
2016,BUF,0.494
2017,BUF,0.476
2018,BUF,0.378
2019,BUF,0.463
2020,BUF,0.493
2021,BUF,0.33
2022,BUF,0.457
2023,BUF,0.555
2007,CAR,0.537
2008,CAR,0.561
2009,CAR,0.591
2010,CAR,0.488
2011,CAR,0.555
2012,CAR,0.5
2013,CAR,0.438
2014,CAR,0.506
2015,CAR,0.433
2016,CAR,0.524
2017,CAR,0.53
2018,CAR,0.506
2019,CAR,0.604
2020,CAR,0.596
2021,CAR,0.714
2022,CAR,0.707
2023,CAR,0.689
2007,CBJ,0.445
2008,CBJ,0.488
2009,CBJ,0.561
2010,CBJ,0.482
2011,CBJ,0.494
2012,CBJ,0.396
2013,CBJ,0.573
2014,CBJ,0.567
2015,CBJ,0.543
2016,CBJ,0.463
2017,CBJ,0.659
2018,CBJ,0.591
2019,CBJ,0.598
2020,CBJ,0.579
2021,CBJ,0.429
2022,CBJ,0.494
2023,CBJ,0.36
2007,CGY,0.585
2008,CGY,0.573
2009,CGY,0.598
2010,CGY,0.549
2011,CGY,0.573
2012,CGY,0.549
2013,CGY,0.438
2014,CGY,0.47
2015,CGY,0.591
2016,CGY,0.47
2017,CGY,0.573
2018,CGY,0.512
2019,CGY,0.652
2020,CGY,0.564
2021,CGY,0.491
2022,CGY,0.677
2023,CGY,0.567
2007,CHI,0.433
2008,CHI,0.537
2009,CHI,0.634
2010,CHI,0.683
2011,CHI,0.591
2012,CHI,0.616
2013,CHI,0.802
2014,CHI,0.652
2015,CHI,0.622
2016,CHI,0.628
2017,CHI,0.665
2018,CHI,0.463
2019,CHI,0.512
2020,CHI,0.514
2021,CHI,0.491
2022,CHI,0.415
2023,CHI,0.36
2007,COL,0.579
2008,COL,0.579
2009,COL,0.421
2010,COL,0.579
2011,COL,0.415
2012,COL,0.537
2013,COL,0.406
2014,COL,0.683
2015,COL,0.549
2016,COL,0.5
2017,COL,0.293
2018,COL,0.579
2019,COL,0.549
2020,COL,0.657
2021,COL,0.732
2022,COL,0.726
2023,COL,0.665
2007,DAL,0.652
2008,DAL,0.591
2009,DAL,0.506
2010,DAL,0.537
2011,DAL,0.579
2012,DAL,0.543
2013,DAL,0.5
2014,DAL,0.555
2015,DAL,0.561
2016,DAL,0.665
2017,DAL,0.482
2018,DAL,0.561
2019,DAL,0.567
2020,DAL,0.594
2021,DAL,0.536
2022,DAL,0.598
2023,DAL,0.659
2007,DET,0.689
2008,DET,0.701
2009,DET,0.683
2010,DET,0.622
2011,DET,0.634
2012,DET,0.622
2013,DET,0.583
2014,DET,0.567
2015,DET,0.61
2016,DET,0.567
2017,DET,0.482
