Team,PTS,GP,W,L,OL,PTS%,GF,GA,Playoffs,Season
DET,124,82,58,16,8,0.756,305,209,True,2006
OTT,113,82,52,21,9,0.689,314,211,True,2006
CAR,112,82,52,22,8,0.683,294,260,True,2006
DAL,112,82,53,23,6,0.683,265,218,True,2006
BUF,110,82,52,24,6,0.671,281,239,True,2006
NSH,106,82,49,25,8,0.646,259,227,True,2006
CGY,103,82,46,25,11,0.628,218,200,True,2006
PHI,101,82,45,26,11,0.616,267,259,True,2006
NJD,101,82,46,27,9,0.616,242,229,True,2006
NYR,100,82,44,26,12,0.61,257,215,True,2006
SJS,99,82,44,27,11,0.604,266,242,True,2006
ANA,98,82,43,27,12,0.598,254,229,True,2006
COL,95,82,43,30,9,0.579,283,257,True,2006
EDM,95,82,41,28,13,0.579,256,251,True,2006
MTL,93,82,42,31,9,0.567,243,247,True,2006
TBL,92,82,43,33,6,0.561,252,260,True,2006
VAN,92,82,42,32,8,0.561,256,255,False,2006
WPG,90,82,41,33,8,0.549,281,275,False,2006
TOR,90,82,41,33,8,0.549,257,270,False,2006
LAK,89,82,42,35,5,0.543,249,270,False,2006
FLA,85,82,37,34,11,0.518,240,257,False,2006
MIN,84,82,38,36,8,0.512,231,215,False,2006
ARI,81,82,38,39,5,0.494,246,271,False,2006
NYI,78,82,36,40,6,0.476,230,278,False,2006
BOS,74,82,29,37,16,0.451,230,266,False,2006
CBJ,74,82,35,43,4,0.451,223,279,False,2006
WSH,70,82,29,41,12,0.427,237,306,False,2006
CHI,65,82,26,43,13,0.396,211,285,False,2006
PIT,58,82,22,46,14,0.354,244,316,False,2006
STL,57,82,21,46,15,0.348,197,292,False,2006
DET,113,82,50,19,13,0.689,254,199,True,2007
BUF,113,82,53,22,7,0.689,308,242,True,2007
NSH,110,82,51,23,8,0.671,272,212,True,2007
ANA,110,82,48,20,14,0.671,258,208,True,2007
DAL,107,82,50,25,7,0.652,226,197,True,2007
SJS,107,82,51,26,5,0.652,258,199,True,2007
NJD,107,82,49,24,9,0.652,216,201,True,2007
PIT,105,82,47,24,11,0.64,277,246,True,2007
OTT,105,82,48,25,9,0.64,288,222,True,2007
VAN,105,82,49,26,7,0.64,222,201,True,2007
MIN,104,82,48,26,8,0.634,235,191,True,2007
WPG,97,82,43,28,11,0.591,246,245,True,2007
CGY,96,82,43,29,10,0.585,258,226,True,2007
COL,95,82,44,31,7,0.579,272,251,False,2007
NYR,94,82,42,30,10,0.573,242,216,True,2007
TBL,93,82,44,33,5,0.567,253,261,True,2007
NYI,92,82,40,30,12,0.561,248,240,True,2007
TOR,91,82,40,31,11,0.555,258,269,False,2007
MTL,90,82,42,34,6,0.549,245,256,False,2007
CAR,88,82,40,34,8,0.537,241,253,False,2007
FLA,86,82,35,31,16,0.524,247,257,False,2007
STL,81,82,34,35,13,0.494,214,254,False,2007
BOS,76,82,35,41,6,0.463,219,289,False,2007
CBJ,73,82,33,42,7,0.445,201,249,False,2007
EDM,71,82,32,43,7,0.433,195,248,False,2007
CHI,71,82,31,42,9,0.433,201,258,False,2007
WSH,70,82,28,40,14,0.427,235,286,False,2007
LAK,68,82,27,41,14,0.415,227,283,False,2007
ARI,67,82,31,46,5,0.409,216,284,False,2007
PHI,56,82,22,48,12,0.341,214,303,False,2007
DET,115,82,54,21,7,0.701,257,184,True,2008
SJS,108,82,49,23,10,0.659,222,193,True,2008
MTL,104,82,47,25,10,0.634,262,222,True,2008
ANA,102,82,47,27,8,0.622,205,191,True,2008
PIT,102,82,47,27,8,0.622,247,216,True,2008
NJD,99,82,46,29,7,0.604,206,197,True,2008
MIN,98,82,44,28,10,0.598,223,218,True,2008
NYR,97,82,42,27,13,0.591,213,199,True,2008
DAL,97,82,45,30,7,0.591,242,207,True,2008
COL,95,82,44,31,7,0.579,231,219,True,2008
PHI,95,82,42,29,11,0.579,248,233,True,2008
BOS,94,82,41,29,12,0.573,212,222,True,2008
WSH,94,82,43,31,8,0.573,242,231,True,2008
CGY,94,82,42,30,10,0.573,229,227,True,2008
OTT,94,82,43,31,8,0.573,261,247,True,2008
CAR,92,82,43,33,6,0.561,252,249,False,2008
NSH,91,82,41,32,9,0.555,230,229,True,2008
BUF,90,82,39,31,12,0.549,255,242,False,2008
EDM,88,82,41,35,6,0.537,235,251,False,2008
CHI,88,82,40,34,8,0.537,239,235,False,2008
VAN,88,82,39,33,10,0.537,213,215,False,2008
FLA,85,82,38,35,9,0.518,216,226,False,2008
ARI,83,82,38,37,7,0.506,214,231,False,2008
TOR,83,82,36,35,11,0.506,231,260,False,2008
CBJ,80,82,34,36,12,0.488,193,218,False,2008
NYI,79,82,35,38,9,0.482,194,243,False,2008
STL,79,82,33,36,13,0.482,205,237,False,2008
WPG,76,82,34,40,8,0.463,216,272,False,2008
TBL,71,82,31,42,9,0.433,223,267,False,2008
LAK,71,82,32,43,7,0.433,231,266,False,2008
SJS,117,82,53,18,11,0.713,257,204,True,2009
BOS,116,82,53,19,10,0.707,274,196,True,2009
DET,112,82,51,21,10,0.683,295,244,True,2009
WSH,108,82,50,24,8,0.659,272,245,True,2009
NJD,106,82,51,27,4,0.646,244,209,True,2009
CHI,104,82,46,24,12,0.634,264,216,True,2009
VAN,100,82,45,27,10,0.61,246,220,True,2009
PIT,99,82,45,28,9,0.604,264,239,True,2009
PHI,99,82,44,27,11,0.604,264,238,True,2009
CGY,98,82,46,30,6,0.598,254,248,True,2009
CAR,97,82,45,30,7,0.591,239,226,True,2009
NYR,95,82,43,30,9,0.579,210,218,True,2009
FLA,93,82,41,30,11,0.567,234,231,False,2009
MTL,93,82,41,30,11,0.567,249,247,True,2009
CBJ,92,82,41,31,10,0.561,226,230,True,2009
STL,92,82,41,31,10,0.561,233,233,True,2009
BUF,91,82,41,32,9,0.555,250,234,False,2009
ANA,91,82,42,33,7,0.555,245,238,True,2009
MIN,89,82,40,33,9,0.543,219,200,False,2009
NSH,88,82,40,34,8,0.537,213,233,False,2009
EDM,85,82,38,35,9,0.518,234,248,False,2009
DAL,83,82,36,35,11,0.506,230,257,False,2009
OTT,83,82,36,35,11,0.506,217,237,False,2009
TOR,81,82,34,35,13,0.494,250,293,False,2009
ARI,79,82,36,39,7,0.482,208,252,False,2009
LAK,79,82,34,37,11,0.482,207,234,False,2009
WPG,76,82,35,41,6,0.463,257,280,False,2009
COL,69,82,32,45,5,0.421,199,257,False,2009
TBL,66,82,24,40,18,0.402,210,279,False,2009
NYI,61,82,26,47,9,0.372,201,279,False,2009
WSH,121,82,54,15,13,0.738,318,233,True,2010
SJS,113,82,51,20,11,0.689,264,215,True,2010
CHI,112,82,52,22,8,0.683,271,209,True,2010
ARI,107,82,50,25,7,0.652,225,202,True,2010
VAN,103,82,49,28,5,0.628,272,222,True,2010
NJD,103,82,48,27,7,0.628,222,191,True,2010
DET,102,82,44,24,14,0.622,229,216,True,2010
PIT,101,82,47,28,7,0.616,257,237,True,2010
LAK,101,82,46,27,9,0.616,241,219,True,2010
BUF,100,82,45,27,10,0.61,235,207,True,2010
NSH,100,82,47,29,6,0.61,225,225,True,2010
COL,95,82,43,30,9,0.579,244,233,True,2010
OTT,94,82,44,32,6,0.573,225,238,True,2010
BOS,91,82,39,30,13,0.555,206,200,True,2010
CGY,90,82,40,32,10,0.549,204,210,False,2010
STL,90,82,40,32,10,0.549,225,223,False,2010
ANA,89,82,39,32,11,0.543,238,251,False,2010
PHI,88,82,41,35,6,0.537,236,225,True,2010
MTL,88,82,39,33,10,0.537,217,223,True,2010
DAL,88,82,37,31,14,0.537,237,254,False,2010
NYR,87,82,38,33,11,0.53,222,218,False,2010
MIN,84,82,38,36,8,0.512,219,246,False,2010
WPG,83,82,35,34,13,0.506,234,256,False,2010
TBL,80,82,34,36,12,0.488,217,260,False,2010
CAR,80,82,35,37,10,0.488,230,256,False,2010
CBJ,79,82,32,35,15,0.482,216,259,False,2010
NYI,79,82,34,37,11,0.482,222,264,False,2010
FLA,77,82,32,37,13,0.47,208,244,False,2010
TOR,74,82,30,38,14,0.451,214,267,False,2010
EDM,62,82,27,47,8,0.378,214,284,False,2010
VAN,117,82,54,19,9,0.713,262,185,True,2011
WSH,107,82,48,23,11,0.652,224,197,True,2011
PHI,106,82,47,23,12,0.646,259,223,True,2011
PIT,106,82,49,25,8,0.646,238,199,True,2011
SJS,105,82,48,25,9,0.64,248,213,True,2011
DET,104,82,47,25,10,0.634,261,241,True,2011
BOS,103,82,46,25,11,0.628,246,195,True,2011
TBL,103,82,46,25,11,0.628,247,240,True,2011
NSH,99,82,44,27,11,0.604,219,194,True,2011
ARI,99,82,43,26,13,0.604,231,226,True,2011
ANA,99,82,47,30,5,0.604,239,235,True,2011
LAK,98,82,46,30,6,0.598,219,198,True,2011
CHI,97,82,44,29,9,0.591,258,225,True,2011
MTL,96,82,44,30,8,0.585,216,209,True,2011
BUF,96,82,43,29,10,0.585,245,229,True,2011
DAL,95,82,42,29,11,0.579,227,233,False,2011
CGY,94,82,41,29,12,0.573,250,237,False,2011
NYR,93,82,44,33,5,0.567,233,198,True,2011
CAR,91,82,40,31,11,0.555,236,239,False,2011
STL,87,82,38,33,11,0.53,240,234,False,2011
MIN,86,82,39,35,8,0.524,206,233,False,2011
TOR,85,82,37,34,11,0.518,218,251,False,2011
CBJ,81,82,34,35,13,0.494,215,258,False,2011
